iter	Passed	Remaining
0	153	153670
1	154	77183
2	155	51635
3	156	38874
4	157	31256
5	157	26148
6	158	22494
7	159	19751
8	160	17618
9	160	15908
10	162	14604
11	163	13467
12	164	12484
13	165	11642
14	166	10901
15	166	10253
16	167	9681
17	168	9171
18	168	8716
19	169	8305
20	170	7934
21	170	7596
22	171	7288
23	172	7004
24	172	6746
25	173	6505
26	174	6282
27	176	6116
28	177	5945
29	178	5768
30	179	5599
31	179	5440
32	180	5291
33	181	5155
34	182	5023
35	182	4897
36	183	4778
37	184	4665
38	184	4558
39	185	4456
40	186	4358
41	187	4266
42	187	4179
43	188	4094
44	189	4014
45	191	3961
46	192	3897
47	193	3830
48	193	3764
49	194	3699
50	195	3637
51	196	3577
52	196	3518
53	197	3463
54	198	3409
55	199	3357
56	199	3307
57	200	3257
58	201	3211
59	202	3165
60	203	3133
61	204	3097
62	205	3056
63	206	3021
64	207	2983
65	208	2947
66	209	2912
67	209	2877
68	210	2846
69	211	2812
70	212	2778
71	213	2745
72	213	2714
73	214	2682
74	215	2654
75	216	2626
76	216	2597
77	217	2575
78	219	2555
79	220	2531
80	220	2505
81	221	2482
82	222	2454
83	222	2431
84	223	2408
85	224	2385
86	225	2363
87	225	2341
88	226	2319
89	227	2298
90	227	2277
91	228	2256
92	229	2236
93	230	2217
94	230	2198
95	231	2179
96	234	2178
97	234	2162
98	235	2145
99	236	2128
100	237	2110
101	237	2093
102	238	2076
103	239	2060
104	239	2044
105	240	2028
106	241	2014
107	242	1999
108	242	1984
109	243	1970
110	244	1955
111	244	1941
112	245	1926
113	246	1912
114	248	1910
115	249	1901
116	250	1889
117	251	1877
118	251	1864
119	252	1851
120	253	1839
121	253	1825
122	254	1814
123	255	1802
124	255	1790
125	256	1779
126	257	1767
127	257	1757
128	258	1747
129	259	1737
130	260	1727
131	261	1717
132	262	1709
133	263	1705
134	264	1697
135	265	1688
136	266	1678
137	267	1669
138	268	1661
139	269	1653
140	269	1644
141	270	1634
142	271	1625
143	272	1617
144	272	1608
145	273	1600
146	274	1592
147	275	1584
148	275	1576
149	278	1577
150	279	1572
151	280	1564
152	281	1556
153	281	1548
154	282	1541
155	283	1533
156	284	1526
157	285	1519
158	285	1512
159	286	1506
160	287	1498
161	288	1491
162	289	1484
163	289	1477
164	290	1470
165	291	1464
166	293	1464
167	295	1461
168	296	1457
169	297	1451
170	298	1445
171	299	1439
172	299	1433
173	300	1428
174	301	1422
175	302	1416
176	303	1410
177	304	1405
178	305	1399
179	306	1394
180	307	1393
181	309	1389
182	310	1384
183	311	1379
184	311	1373
185	312	1368
186	313	1363
187	314	1358
188	315	1352
189	315	1347
190	316	1341
191	317	1336
192	318	1330
193	319	1325
194	319	1320
195	320	1314
196	323	1316
197	324	1312
198	325	1308
199	326	1304
200	327	1300
201	328	1297
202	329	1294
203	331	1292
204	332	1290
205	334	1287
206	335	1286
207	348	1328
208	351	1328
209	351	1323
210	352	1319
211	353	1315
212	354	1310
213	355	1306
214	356	1301
215	357	1296
216	358	1292
217	359	1288
218	360	1286
219	371	1315
220	377	1329
221	378	1325
222	379	1322
223	380	1317
224	381	1312
225	381	1308
226	382	1303
227	384	1300
228	385	1296
229	385	1291
230	386	1287
231	387	1282
232	388	1278
233	389	1273
234	389	1269
235	391	1267
236	392	1264
237	393	1260
238	394	1256
239	395	1252
240	396	1248
241	397	1245
242	398	1241
243	399	1237
244	400	1233
245	400	1228
246	401	1224
247	402	1220
248	403	1215
249	403	1211
250	404	1207
251	407	1209
252	408	1206
253	409	1202
254	410	1198
255	411	1195
256	412	1191
257	413	1188
258	414	1185
259	415	1182
260	416	1178
261	417	1174
262	417	1171
263	418	1167
264	419	1163
265	420	1160
266	421	1158
267	423	1155
268	424	1153
269	425	1149
270	426	1147
271	427	1143
272	428	1140
273	428	1136
274	429	1132
275	430	1129
276	431	1126
277	432	1122
278	433	1119
279	433	1115
280	434	1112
281	436	1110
282	437	1108
283	438	1105
284	439	1102
285	440	1100
286	442	1098
287	442	1094
288	443	1091
289	444	1088
290	445	1085
291	446	1081
292	446	1078
293	447	1075
294	448	1071
295	449	1068
296	450	1066
297	451	1064
298	453	1062
299	454	1059
300	455	1056
301	455	1053
302	456	1050
303	457	1047
304	458	1044
305	459	1041
306	460	1039
307	461	1037
308	462	1035
309	463	1032
310	465	1031
311	467	1031
312	469	1030
313	470	1027
314	471	1024
315	472	1022
316	473	1019
317	474	1016
318	475	1014
319	476	1012
320	477	1009
321	478	1006
322	478	1003
323	481	1004
324	482	1002
325	483	1000
326	484	998
327	485	995
328	486	992
329	487	989
330	488	986
331	489	983
332	489	981
333	490	978
334	491	975
335	492	973
336	493	971
337	494	969
338	496	967
339	497	965
340	498	963
341	499	960
342	499	957
343	500	954
344	501	951
345	502	949
346	502	946
347	503	944
348	504	941
349	505	938
350	506	936
351	507	933
352	508	931
353	510	930
354	511	929
355	512	927
356	513	924
357	514	922
358	515	920
359	516	917
360	517	915
361	518	913
362	519	911
363	520	908
364	521	906
365	522	904
366	523	902
367	525	901
368	526	900
369	527	898
370	528	895
371	529	893
372	530	891
373	531	889
374	532	886
375	532	884
376	533	882
377	534	879
378	535	877
379	536	875
380	537	872
381	538	871
382	540	870
383	541	869
384	542	867
385	543	864
386	544	862
387	545	860
388	546	858
389	547	856
390	548	854
391	549	852
392	550	850
393	551	848
394	552	845
395	554	846
396	555	844
397	557	842
398	558	840
399	558	838
400	559	836
401	561	834
402	562	832
403	563	830
404	564	828
405	564	826
406	566	824
407	566	822
408	568	821
409	569	820
410	570	818
411	571	816
412	572	814
413	573	812
414	574	810
415	575	808
416	576	806
417	577	803
418	578	801
419	579	799
420	580	797
421	580	795
422	581	793
423	584	794
424	585	792
425	586	790
426	587	788
427	588	786
428	589	785
429	590	783
430	591	781
431	592	779
432	593	777
433	594	775
434	595	773
435	596	771
436	598	770
437	600	770
438	601	768
439	602	766
440	603	764
441	604	762
442	605	760
443	605	758
444	606	756
445	607	754
446	608	752
447	609	750
448	610	749
449	611	747
450	612	745
451	614	744
452	615	743
453	616	741
454	617	739
455	618	737
456	619	736
457	620	734
458	621	732
459	622	730
460	623	728
461	624	727
462	625	725
463	626	723
464	629	724
465	631	723
466	632	721
467	633	720
468	639	723
469	640	722
470	641	720
471	642	718
472	644	718
473	645	716
474	647	715
475	648	713
476	648	711
477	649	709
478	650	708
479	652	706
480	653	704
481	654	702
482	655	701
483	656	699
484	657	697
485	659	697
486	660	696
487	661	694
488	662	692
489	663	690
490	664	689
491	665	687
492	666	685
493	667	683
494	668	681
495	669	680
496	670	678
497	670	676
498	671	674
499	674	674
500	676	673
501	676	671
502	677	669
503	678	667
504	679	666
505	680	664
506	681	662
507	682	660
508	683	659
509	684	657
510	684	655
511	685	653
512	686	651
513	687	650
514	689	649
515	690	647
516	692	646
517	692	644
518	693	642
519	694	641
520	695	639
521	696	637
522	697	635
523	698	634
524	698	632
525	699	630
526	700	629
527	701	627
528	703	626
529	705	625
530	706	623
531	707	621
532	707	620
533	708	618
534	709	616
535	710	615
536	711	613
537	712	611
538	713	610
539	714	608
540	716	607
541	718	607
542	720	606
543	721	604
544	721	602
545	722	600
546	723	599
547	724	597
548	725	595
549	725	593
550	727	592
551	727	590
552	730	590
553	739	595
554	740	593
555	741	592
556	742	590
557	743	589
558	744	587
559	745	586
560	746	584
561	750	584
562	751	583
563	752	581
564	753	579
565	753	578
566	754	576
567	755	574
568	756	573
569	757	571
570	758	570
571	759	568
572	760	566
573	761	565
574	762	563
575	766	563
576	767	562
577	767	560
578	768	558
579	769	557
580	770	555
581	771	553
582	771	552
583	772	550
584	773	548
585	774	547
586	775	545
587	775	543
588	776	542
589	777	540
590	779	539
591	780	537
592	781	536
593	782	534
594	783	532
595	783	531
596	784	529
597	785	527
598	786	526
599	786	524
600	787	522
601	788	521
602	789	519
603	790	518
604	791	516
605	791	514
606	792	513
607	794	512
608	796	511
609	796	509
610	797	507
611	798	506
612	799	504
613	800	502
614	801	501
615	801	499
616	802	498
617	803	496
618	804	494
619	804	493
620	805	491
621	806	490
622	807	488
623	808	487
624	809	485
625	811	484
626	812	483
627	812	481
628	813	479
629	814	478
630	815	476
631	816	475
632	817	473
633	818	472
634	820	471
635	821	470
636	822	468
637	825	468
638	826	466
639	828	465
640	829	464
641	830	463
642	831	461
643	833	460
644	833	459
645	835	457
646	836	456
647	837	454
648	839	454
649	841	453
650	842	451
651	843	450
652	844	448
653	845	447
654	846	445
655	847	444
656	848	442
657	849	441
658	850	439
659	850	438
660	852	436
661	855	436
662	857	435
663	858	434
664	859	433
665	860	431
666	861	430
667	863	428
668	864	427
669	864	426
670	865	424
671	866	423
672	868	422
673	870	421
674	871	419
675	873	418
676	874	417
677	875	415
678	876	414
679	877	412
680	877	411
681	878	409
682	879	408
683	880	406
684	881	405
685	882	403
686	884	403
687	886	401
688	886	400
689	887	398
690	888	397
691	889	396
692	890	394
693	891	393
694	892	391
695	893	390
696	893	388
697	894	387
698	895	385
699	896	384
700	897	382
701	898	381
702	899	380
703	900	378
704	901	377
705	902	375
706	903	374
707	904	372
708	905	371
709	906	370
710	906	368
711	907	367
712	908	365
713	909	364
714	910	362
715	910	361
716	911	359
717	912	358
718	914	357
719	915	356
720	916	354
721	917	353
722	918	351
723	919	350
724	920	349
725	920	347
726	921	346
727	922	344
728	923	343
729	924	341
730	924	340
731	926	339
732	927	337
733	928	336
734	929	335
735	930	333
736	931	332
737	932	331
738	933	329
739	934	328
740	935	327
741	936	325
742	937	324
743	938	322
744	939	321
745	939	320
746	940	318
747	941	317
748	942	315
749	953	317
750	954	316
751	955	315
752	956	313
753	956	312
754	957	310
755	958	309
756	960	308
757	962	307
758	963	305
759	963	304
760	964	302
761	965	301
762	966	300
763	967	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	971	290
770	972	288
771	973	287
772	974	286
773	976	285
774	977	283
775	977	282
776	978	280
777	979	279
778	980	278
779	981	276
780	982	275
781	982	274
782	983	272
783	984	271
784	985	269
785	986	268
786	986	267
787	987	265
788	988	264
789	990	263
790	991	262
791	992	260
792	993	259
793	994	257
794	995	256
795	995	255
796	996	253
797	997	252
798	998	251
799	999	249
800	999	248
801	1000	247
802	1001	245
803	1002	244
804	1002	242
805	1003	241
806	1005	240
807	1007	239
808	1008	238
809	1009	236
810	1009	235
811	1010	233
812	1011	232
813	1012	231
814	1012	229
815	1013	228
816	1014	227
817	1015	225
818	1016	224
819	1016	223
820	1017	221
821	1018	220
822	1019	219
823	1021	218
824	1022	216
825	1023	215
826	1024	214
827	1025	212
828	1025	211
829	1027	210
830	1028	209
831	1028	207
832	1029	206
833	1030	205
834	1031	203
835	1031	202
836	1032	201
837	1033	199
838	1035	198
839	1036	197
840	1037	196
841	1039	195
842	1040	193
843	1040	192
844	1041	191
845	1042	189
846	1043	188
847	1044	187
848	1044	185
849	1045	184
850	1046	183
851	1047	181
852	1047	180
853	1048	179
854	1050	178
855	1051	176
856	1052	175
857	1053	174
858	1054	173
859	1055	171
860	1055	170
861	1056	169
862	1057	167
863	1058	166
864	1059	165
865	1059	163
866	1060	162
867	1061	161
868	1062	160
869	1063	158
870	1064	157
871	1065	156
872	1066	155
873	1067	153
874	1068	152
875	1069	151
876	1070	150
877	1071	148
878	1071	147
879	1072	146
880	1073	144
881	1074	143
882	1074	142
883	1075	141
884	1076	139
885	1077	138
886	1078	137
887	1078	136
888	1082	135
889	1083	133
890	1084	132
891	1085	131
892	1085	130
893	1086	128
894	1087	127
895	1088	126
896	1089	125
897	1089	123
898	1090	122
899	1091	121
900	1092	120
901	1092	118
902	1093	117
903	1097	116
904	1105	116
905	1106	114
906	1109	113
907	1111	112
908	1112	111
909	1113	110
910	1114	108
911	1114	107
912	1115	106
913	1116	105
914	1117	103
915	1118	102
916	1119	101
917	1120	100
918	1121	98
919	1121	97
920	1122	96
921	1123	95
922	1124	93
923	1126	92
924	1128	91
925	1129	90
926	1129	88
927	1130	87
928	1131	86
929	1132	85
930	1133	83
931	1133	82
932	1135	81
933	1135	80
934	1136	79
935	1137	77
936	1138	76
937	1139	75
938	1140	74
939	1141	72
940	1142	71
941	1143	70
942	1144	69
943	1145	67
